sample,run,condition,fq1,fq2
SRR11849641,1,spt4_yeast_cells,SRR11849641.fastq.gz,
SRR11849632,1,Sorbitol_yeast_cells,SRR11849632.fastq.gz,
SRR11849623,1,YPD_log_phase_yeast_cells,SRR11849623.fastq.gz,
SRR11849624,1,YPD_log_phase_yeast_cells,SRR11849624.fastq.gz,
SRR11849626,1,YPD_diauxic_yeast_cells,SRR11849626.fastq.gz,
SRR11849627,1,YPGal_yeast_cells,SRR11849627.fastq.gz,
SRR11849628,1,YPGal_yeast_cells,SRR11849628.fastq.gz,
SRR11849629,1,Minimal_yeast_cells,SRR11849629.fastq.gz,
SRR11849630,1,Minimal_yeast_cells,SRR11849630.fastq.gz,
SRR11849631,1,Sorbitol_yeast_cells,SRR11849631.fastq.gz,
SRR11849633,1,Rpb1_H1085Q_slower_yeast_cells,SRR11849633.fastq.gz,
SRR11849634,1,Rpb1_H1085Q_slower_yeast_cells,SRR11849634.fastq.gz,
SRR11849635,1,Rpb1_F1086S_slow_yeast_cells,SRR11849635.fastq.gz,
SRR11849636,1,Rpb1_F1086S_slow_yeast_cells,SRR11849636.fastq.gz,
SRR11849638,1,Rpb1_L1101S_fast_yeast_cells,SRR11849638.fastq.gz,
SRR11849639,1,Rpb1_E1103G_faster_yeast_cells,SRR11849639.fastq.gz,
SRR11849640,1,Rpb1_E1103G_faster_yeast_cells,SRR11849640.fastq.gz,
SRR11849625,1,YPD_diauxic_yeast_cells,SRR11849625.fastq.gz,
SRR11849637,1,Rpb1_L1101S_fast_yeast_cells,SRR11849637.fastq.gz,
SRR11849642,1,spt4_yeast_cells,SRR11849642.fastq.gz,
SRR11849643,1,hpr1_yeast_cells,SRR11849643.fastq.gz,
SRR11849644,1,hpr1_yeast_cells,SRR11849644.fastq.gz,
